categoria,n,proporcao,ic95_wald_inf,ic95_wald_sup,ic95_wilson_inf,ic95_wilson_sup
Segunda-feira,3,0.03488372093023256,0.0,0.07366374444108584,0.011933581807332512,0.09761032658254476
Terça-feira,9,0.10465116279069768,0.0399555230399424,0.16934680254145296,0.05604026272483177,0.18707205940656396
Quarta-feira,8,0.09302325581395349,0.03163282383619749,0.1544136877917095,0.04789171128373092,0.1729592085574117
Quinta-feira,5,0.05813953488372093,0.008681608237871688,0.10759746152957017,0.02508656569078512,0.12898014727959828
Sexta-feira,5,0.05813953488372093,0.008681608237871688,0.10759746152957017,0.02508656569078512,0.12898014727959828
Sábado,12,0.13953488372093023,0.06630052594731181,0.21276924149454865,0.08165766761659309,0.22823886138556176
Domingo,44,0.5116279069767442,0.4059803696618971,0.6172754442915913,0.4077653726724701,0.614496029617783
