geografia,desfecho,modelo,termo,or,ic95_inf,ic95_sup,p_valor,significancia
Belo Horizonte,Pelo menos 1,Demográfico,Intercept,1.043758171937143,0.0181200154669398,60.123079004719834,0.9834786357508156,
Belo Horizonte,Pelo menos 1,Demográfico,"C(sexo, Treatment('Masculino'))[T.Feminino]",3.5269974769937473,1.5566584924421463,7.99129112976113,0.0025241138045922797,**
Belo Horizonte,Pelo menos 1,Demográfico,"C(raca, Treatment('Brancos'))[T.Negros]",1.7804522437712498,0.8163984185541729,3.882920545049694,0.1470424044506197,
Belo Horizonte,Pelo menos 1,Demográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Casado/a]",1.0266335145661116,0.31839426784057934,3.3102868979980977,0.9649012085686978,
Belo Horizonte,Pelo menos 1,Demográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Separado/a]",0.47286305388597094,0.09258977682293852,2.414947690801338,0.3680061701070996,
Belo Horizonte,Pelo menos 1,Demográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Viúvo/a]",1.4785868437417553,0.42751445124861337,5.1137898335391,0.5367515772792776,
Belo Horizonte,Pelo menos 1,Demográfico,idade1,0.9657102951497134,0.9146620722682545,1.0196075714011155,0.207960014933952,
Belo Horizonte,Pelo menos 1,Sociodemográfico,Intercept,0.7645977415997429,0.01017015915282851,57.4828473846288,0.9030753637649214,
Belo Horizonte,Pelo menos 1,Sociodemográfico,"C(sexo, Treatment('Masculino'))[T.Feminino]",3.5124640140435965,1.5095514706471411,8.17289353152181,0.003548730544639928,**
Belo Horizonte,Pelo menos 1,Sociodemográfico,"C(raca, Treatment('Brancos'))[T.Negros]",1.599650154174074,0.69458085793668,3.684064405907388,0.26971283300171633,
Belo Horizonte,Pelo menos 1,Sociodemográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Casado/a]",1.0362075272977471,0.32041447438959664,3.3510534805707692,0.952638476668563,
Belo Horizonte,Pelo menos 1,Sociodemográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Separado/a]",0.4238706838858026,0.08263826367963563,2.17413034419905,0.3035025484328162,
Belo Horizonte,Pelo menos 1,Sociodemográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Viúvo/a]",1.43988587514421,0.41151146056275023,5.03818613120657,0.5683435499961309,
Belo Horizonte,Pelo menos 1,Sociodemográfico,"C(renda, Treatment('Até R$1620'))[T.Acima de R$4600]",0.5792444917327909,0.18994099449085017,1.7664653283624996,0.3371501831913133,
Belo Horizonte,Pelo menos 1,Sociodemográfico,"C(renda, Treatment('Até R$1620'))[T.R$1620 a R$2600]",0.8350982220694928,0.28756939959744215,2.425115612022271,0.7404156743212666,
Belo Horizonte,Pelo menos 1,Sociodemográfico,"C(renda, Treatment('Até R$1620'))[T.R$2300 a R$4600]",1.3032506846834602,0.4760940836843083,3.5674930761251296,0.6061966753508395,
Belo Horizonte,Pelo menos 1,Sociodemográfico,idade1,0.9722910578645885,0.91895859462706,1.028718711300688,0.3289332190873999,
Belo Horizonte,Pelo menos 1,Geral,Intercept,1.1141703741122857,0.01319730433693352,94.06281698569602,0.9619011348977788,
Belo Horizonte,Pelo menos 1,Geral,"C(sexo, Treatment('Masculino'))[T.Feminino]",3.9140436552932574,1.6305578665761482,9.395396538553918,0.0022557273695050332,**
Belo Horizonte,Pelo menos 1,Geral,"C(raca, Treatment('Brancos'))[T.Negros]",1.6229975860476509,0.6828702887505412,3.8574253525309996,0.27291381322409425,
Belo Horizonte,Pelo menos 1,Geral,"C(estadocivil, Treatment('Solteiro/a'))[T.Casado/a]",0.9489139943285644,0.2798134557140605,3.217993095917238,0.9329298204386764,
Belo Horizonte,Pelo menos 1,Geral,"C(estadocivil, Treatment('Solteiro/a'))[T.Separado/a]",0.4166097974945631,0.07873542363347043,2.2043918144955392,0.3029772854975048,
Belo Horizonte,Pelo menos 1,Geral,"C(estadocivil, Treatment('Solteiro/a'))[T.Viúvo/a]",1.5726244095566628,0.4240073758738666,5.832793659394153,0.4984119632846701,
Belo Horizonte,Pelo menos 1,Geral,"C(renda, Treatment('Até R$1620'))[T.Acima de R$4600]",0.39245611774263806,0.11988731950600516,1.284721394958776,0.12213401657951858,
Belo Horizonte,Pelo menos 1,Geral,"C(renda, Treatment('Até R$1620'))[T.R$1620 a R$2600]",0.5889456595936644,0.19019548376418816,1.823686783142881,0.3585964647261959,
Belo Horizonte,Pelo menos 1,Geral,"C(renda, Treatment('Até R$1620'))[T.R$2300 a R$4600]",0.8656842766363427,0.29369002435367325,2.5517014698222074,0.7936961528082401,
Belo Horizonte,Pelo menos 1,Geral,"C(dif_andar, Treatment('Sem mobilidade reduzida'))[T.Com mobilidade reduzida]",0.2556858730741983,0.09718014886751694,0.6727224278987199,0.005724914634050198,**
Belo Horizonte,Pelo menos 1,Geral,idade1,0.974820851760022,0.9197682878118965,1.0331685769323649,0.3898963174673027,
Belo Horizonte,Mais de 1,Demográfico,Intercept,0.012255207272299746,3.7494043005826355e-05,4.0057057934160385,0.13617941518717208,
Belo Horizonte,Mais de 1,Demográfico,"C(sexo, Treatment('Masculino'))[T.Feminino]",3.6711144443761685,1.1097798299329342,12.143923416342668,0.03312104359815759,*
Belo Horizonte,Mais de 1,Demográfico,"C(raca, Treatment('Brancos'))[T.Negros]",2.901496788935028,0.8869252903093264,9.491987327663363,0.07814827974209858,+
Belo Horizonte,Mais de 1,Demográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Casado/a]",2.9910146226484144,0.34328586896757796,26.060404116842832,0.3212256041651361,
Belo Horizonte,Mais de 1,Demográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Separado/a]",1.1004502967380356,0.06087381866344934,19.89345965440393,0.9483244475756526,
Belo Horizonte,Mais de 1,Demográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Viúvo/a]",3.5078206151383484,0.38738125963671316,31.764070052147208,0.2642635441902962,
Belo Horizonte,Mais de 1,Demográfico,idade1,0.9952547932221564,0.9257845651382121,1.0699380187698408,0.8974835291159537,
Belo Horizonte,Mais de 1,Sociodemográfico,Intercept,0.06133643454182761,0.0001180169663278052,31.87811311683859,0.3816288634377656,
Belo Horizonte,Mais de 1,Sociodemográfico,"C(sexo, Treatment('Masculino'))[T.Feminino]",3.3499187327483892,0.9686863914872756,11.5847147380577,0.05617080646742234,+
Belo Horizonte,Mais de 1,Sociodemográfico,"C(raca, Treatment('Brancos'))[T.Negros]",2.7637473999988913,0.7548120910955125,10.119471827636763,0.12473871769227193,
Belo Horizonte,Mais de 1,Sociodemográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Casado/a]",2.609405372421325,0.28623702935588663,23.787964865843595,0.3949990144288541,
Belo Horizonte,Mais de 1,Sociodemográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Separado/a]",1.1884154589819458,0.06125787405131981,23.055506333178737,0.9091607097362778,
