categoria,n,proporcao,ic95_wald_inf,ic95_wald_sup,ic95_wilson_inf,ic95_wilson_sup
Bairro de residência,65,0.7558139534883721,0.6650162801135335,0.8466116268632107,0.6553692879036903,0.8343815624818771
Fora do bairro de residência,21,0.2441860465116279,0.1533883731367893,0.33498371988646647,0.16561843751812289,0.3446307120963096
