modo_transporte,n,proporcao,ic95_wald_inf,ic95_wald_sup,ic95_wilson_inf,ic95_wilson_sup,tempo_medio_min,tempo_ic95_inf,tempo_ic95_sup
A pé,57,0.6627906976744186,0.5628724471646285,0.7627089481842086,0.5578236301352326,0.7538360019283099,9.736842105263158,8.161876648026796,11.311807562499519
Carro próprio,13,0.1511627906976744,0.07545483824435845,0.22687074315099037,0.09052037372996753,0.24163755756244037,8.615384615384615,5.649431125354585,11.581338105414645
Carro de carona,8,0.09302325581395349,0.03163282383619749,0.1544136877917095,0.04789171128373092,0.1729592085574117,16.875,2.064463211383117,31.685536788616883
BRT/Ônibus,7,0.08139534883720931,0.02360291823833882,0.1391877794360798,0.0399859229859802,0.15860359456490936,40.0,40.0,40.0
Transporte de aplicativo,1,0.011627906976744186,0.0,0.03428571315284269,0.002055515742405551,0.0629655880669656,20.0,,
