sexo,raca,idade1,estadocivil,renda,dif_andar,religiao,religiao2
Feminino,Negros,60,Solteiro/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Feminino,Negros,73,Casado/a,R$1620 a R$2600,Com mobilidade reduzida,0,0
Masculino,Negros,74,Viúvo/a,R$2600 a R$4600,Com mobilidade reduzida,1,0
Feminino,Negros,70,Separado/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,63,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Brancos,68,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Brancos,70,Viúvo/a,Acima de R$4600,Com mobilidade reduzida,0,0
Masculino,Negros,68,Viúvo/a,R$2600 a R$4600,Sem mobilidade reduzida,1,1
Feminino,Brancos,93,Viúvo/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,81,Casado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Feminino,Brancos,78,Viúvo/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,72,Solteiro/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Masculino,Brancos,71,Separado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Masculino,Negros,69,Casado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Masculino,Negros,62,Casado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,61,Casado/a,R$1620 a R$2600,Com mobilidade reduzida,0,0
Masculino,Negros,82,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,73,,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Negros,68,,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,69,Solteiro/a,R$1620 a R$2600,Com mobilidade reduzida,1,0
Feminino,Brancos,68,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Brancos,68,Casado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Masculino,Negros,79,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,74,Viúvo/a,Acima de R$4600,Sem mobilidade reduzida,1,1
Masculino,Negros,60,Separado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Masculino,Brancos,73,Casado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Masculino,Negros,62,Separado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,70,Viúvo/a,Até R$1620,Sem mobilidade reduzida,1,1
Feminino,Negros,74,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,62,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,1,0
Feminino,Negros,70,Solteiro/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Brancos,77,Casado/a,,Sem mobilidade reduzida,0,0
Masculino,Brancos,84,Casado/a,Acima de R$4600,Com mobilidade reduzida,0,0
Feminino,Negros,76,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Negros,64,Casado/a,Até R$1620,Sem mobilidade reduzida,1,0
Feminino,Brancos,74,Viúvo/a,Acima de R$4600,Com mobilidade reduzida,0,0
Feminino,Negros,85,Solteiro/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,64,Solteiro/a,Até R$1620,Sem mobilidade reduzida,1,1
Feminino,Negros,75,Viúvo/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,60,Separado/a,Acima de R$4600,Sem mobilidade reduzida,1,1
Masculino,Brancos,76,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Negros,84,Viúvo/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,74,Casado/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Negros,63,Casado/a,,Sem mobilidade reduzida,0,0
Feminino,,68,Casado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Feminino,Brancos,88,Viúvo/a,R$1620 a R$2600,Sem mobilidade reduzida,1,0
Feminino,Brancos,65,Separado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,66,Casado/a,Até R$1620,Sem mobilidade reduzida,1,0
Masculino,Negros,75,Viúvo/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,65,Casado/a,,Sem mobilidade reduzida,0,0
Masculino,Negros,60,Solteiro/a,,Sem mobilidade reduzida,0,0
Feminino,Negros,63,Casado/a,Até R$1620,Com mobilidade reduzida,1,1
Feminino,Negros,64,Casado/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Brancos,71,Casado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Masculino,Brancos,64,,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,62,,R$1620 a R$2600,Com mobilidade reduzida,0,0
