sexo,raca,idade1,estadocivil,renda,dif_andar,religiao,religiao2
Masculino,Negros,64,Casado/a,Acima de R$4600,Com mobilidade reduzida,1,0
Masculino,Negros,61,Casado/a,,Sem mobilidade reduzida,0,0
Masculino,Negros,84,Casado/a,,Sem mobilidade reduzida,0,0
Masculino,Negros,84,Separado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Brancos,80,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,72,Viúvo/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,74,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,61,Solteiro/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Negros,78,Casado/a,R$2600 a R$4600,Com mobilidade reduzida,0,0
Masculino,Negros,61,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Negros,67,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,61,Solteiro/a,,Com mobilidade reduzida,0,0
Feminino,Brancos,73,Casado/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,74,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Negros,65,Viúvo/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Negros,76,Viúvo/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,71,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,64,Casado/a,Até R$1620,Sem mobilidade reduzida,1,1
Masculino,Brancos,71,Casado/a,Acima de R$4600,Sem mobilidade reduzida,1,0
Feminino,Brancos,78,Viúvo/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,64,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Brancos,69,Solteiro/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Negros,65,Solteiro/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Negros,82,Viúvo/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Brancos,79,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Masculino,Brancos,78,Separado/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Negros,80,Separado/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Brancos,69,Separado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Feminino,Brancos,67,Viúvo/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Brancos,61,Solteiro/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Brancos,88,Solteiro/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,71,Separado/a,R$1620 a R$2600,Sem mobilidade reduzida,1,0
Feminino,Brancos,79,Solteiro/a,R$1620 a R$2600,Com mobilidade reduzida,0,0
Masculino,Negros,66,Casado/a,,Com mobilidade reduzida,0,0
Masculino,Brancos,68,Casado/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Negros,67,Casado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,71,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Brancos,71,Solteiro/a,R$2600 a R$4600,Sem mobilidade reduzida,1,0
Feminino,Negros,70,Casado/a,Até R$1620,Com mobilidade reduzida,1,1
Masculino,Negros,69,Casado/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Negros,80,Viúvo/a,,Sem mobilidade reduzida,1,1
Masculino,Negros,61,Casado/a,Acima de R$4600,Sem mobilidade reduzida,1,0
Masculino,Negros,78,Separado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Feminino,Brancos,60,Separado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Masculino,Negros,72,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,1,0
Masculino,Negros,64,Viúvo/a,R$1620 a R$2600,Sem mobilidade reduzida,1,0
Feminino,Negros,71,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,84,Viúvo/a,,Com mobilidade reduzida,0,0
Masculino,Brancos,62,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,63,Separado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Feminino,Brancos,72,Solteiro/a,R$1620 a R$2600,Com mobilidade reduzida,0,0
Masculino,Negros,68,Separado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,65,Casado/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,63,Separado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Brancos,61,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,69,Casado/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,70,Viúvo/a,R$2600 a R$4600,Com mobilidade reduzida,0,0
Masculino,Negros,70,Viúvo/a,,Sem mobilidade reduzida,0,0
Masculino,Brancos,74,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Negros,74,Casado/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Negros,60,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,75,Viúvo/a,Até R$1620,Com mobilidade reduzida,1,0
Masculino,Negros,63,Casado/a,,Sem mobilidade reduzida,0,0
Masculino,Brancos,74,Viúvo/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,74,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,67,Separado/a,R$2600 a R$4600,Com mobilidade reduzida,0,0
Feminino,Brancos,64,Separado/a,Até R$1620,Sem mobilidade reduzida,1,0
Feminino,Negros,68,Viúvo/a,Até R$1620,Sem mobilidade reduzida,1,1
Feminino,,63,Separado/a,Até R$1620,Com mobilidade reduzida,1,1
Feminino,Negros,78,Viúvo/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Masculino,Brancos,65,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Brancos,67,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Brancos,68,Separado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Masculino,Negros,77,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Brancos,67,Solteiro/a,Até R$1620,Sem mobilidade reduzida,0,0
