categoria,n,proporcao,ic95_wald_inf,ic95_wald_sup,ic95_wilson_inf,ic95_wilson_sup
Sozinho,47,0.5465116279069767,0.44129372855474913,0.6517295272592043,0.44155981420304113,0.6474857949579708
Familiar corresidente,22,0.2558139534883721,0.16359722268247523,0.348030684294269,0.1754295012969836,0.35708105060770196
Outro,11,0.12790697674418605,0.05731824667479794,0.19849570681357415,0.07294546819879527,0.21468965851310656
Familiar não corresidente,6,0.06976744186046512,0.01592447118565154,0.12361041253527869,0.03236497351786072,0.14396314174277575
