ano,regiao,grupo_idade,catolico,evangelico,espirita,outras
2022,Brasil,60 a 69 anos,0.649538023576172,0.22897957739928257,0.026569786854936953,0.09491261216960849
2022,Brasil,70 a 79 anos,0.6870346379552084,0.21047695071457698,0.023130606724549124,0.07935780460566547
2022,Brasil,80 anos ou mais,0.7202551379597001,0.1896033279846521,0.020302687424502464,0.0698388466311454
2022,Belo Horizonte,60 a 69 anos,0.6310127858503805,0.22053637197894677,0.04843150084566857,0.10001934132500423
2022,Belo Horizonte,70 a 79 anos,0.7003140516912107,0.17473722927188107,0.041145015490387474,0.08380370354652066
2022,Belo Horizonte,80 anos ou mais,0.7313620716230796,0.16323280069876175,0.03394903149565843,0.07145609618250011
2010,Brasil,60 a 69 anos,0.5056950263237262,0.38121983598601406,0.019941491349992624,0.09314364634026706
2010,Brasil,70 a 79 anos,0.5321019106515179,0.3690898766206429,0.017545885357214033,0.08126232737062511
2010,Brasil,80 anos ou mais,0.5683592823387934,0.3380332386545296,0.017051466902641723,0.07655601210403529
2010,Belo Horizonte,60 a 69 anos,0.5076037425512983,0.36084521979849177,0.035308868336613904,0.09624216931359608
2010,Belo Horizonte,70 a 79 anos,0.5386017541421786,0.35252862946403024,0.03168245612601051,0.07718716026778072
2010,Belo Horizonte,80 anos ou mais,0.6338445029077818,0.2807394073663805,0.02987399612295763,0.055542093602880094
2000,Brasil,60 a 69 anos,0.7628339427789304,0.153276564597042,0.01808853412972658,0.06580095849430112
2000,Brasil,70 a 79 anos,0.7776266984635014,0.1432179996284911,0.017930677841467457,0.061224624066539945
2000,Brasil,80 anos ou mais,0.7889973640753454,0.133631086904959,0.01678835628392802,0.06058319273576751
2000,Belo Horizonte,60 a 69 anos,0.7425131665002926,0.15810127018002823,0.03035179511892878,0.06903376820075036
2000,Belo Horizonte,70 a 79 anos,0.7797649945731678,0.13353153068126405,0.03106664779072877,0.0556368269548394
2000,Belo Horizonte,80 anos ou mais,0.8103399604790902,0.11323950477880387,0.026212848328426824,0.05020768641367912
