confissao,estabelecimentos,percentual
Protestante/Evangélica,3196,0.8305613305613305
Católica,339,0.0880977130977131
Espírita,159,0.04132016632016632
Outra,120,0.031185031185031187
Afro-brasileira,34,0.008835758835758836
