code_tract,populacao
310620005620503,260
310620005620504,704
310620005620505,772
310620005620506,398
310620005620507,288
310620005620509,0
310620005620510,557
310620005620511,381
310620005620512,793
310620005620513,549
310620005620514,249
310620005620515,541
310620005620516,521
310620005620517,360
310620005620518,449
310620005620519,417
310620005620520,298
310620005620521,293
310620005620522,500
310620005620523,246
310620005620524,401
310620005620525,437
310620005620526,292
310620005620527,405
310620005620528,589
310620005620529,407
310620005620530,329
310620005620531,137
310620005620532,174
310620005620533,290
310620005620534,370
310620005620535,354
310620005620536,324
310620005620537,322
310620005620538,404
310620005620540,455
310620005620541,403
310620005620542,191
310620005620543,265
310620005620544,127
310620005620545,408
310620005620546,304
310620005620547,261
310620005620548,598
310620005620550,278
310620005620551,476
310620005620552,429
310620005620553,356
310620005620554,322
310620005620555,464
310620005620556,394
310620005620557,438
310620005620558,345
310620005620559,340
310620005620560,280
310620005620561,401
310620005620562,377
310620005620563,379
310620005620564,223
310620005620565,595
310620005620566,309
310620005620567,344
310620005620568,411
310620005620569,334
310620005620570,529
310620005620571,326
310620005620572,393
310620005620573,456
310620005620574,372
310620005620575,433
310620005620576,331
310620005620577,308
310620005620578,434
310620005620579,410
310620005620580,557
310620005620581,442
310620005620582,452
310620005620583,366
310620005620584,416
310620005620585,444
310620005620586,702
310620005620587,335
310620005620588,247
310620005620589,282
310620005620590,723
310620005620591,448
310620005620592,529
310620005620593,708
310620005620594,831
310620005620595,529
310620005620596,636
310620005620597,979
310620005620598,467
310620005620599,417
310620005620600,475
310620005620601,515
310620005620602,295
310620005620603,343
310620005620604,378
310620005620605,310
310620005620606,361
310620005620607,282
310620005620608,413
310620005620609,268
310620005620610,328
310620005620611,424
310620005620612,426
310620005620613,345
310620005620614,335
310620005620615,318
310620005620616,315
310620005620617,366
310620005620618,352
310620005620619,308
310620005620620,351
310620005620621,287
310620005620622,423
310620005620623,349
310620005620624,359
310620005620625,493
310620005620626,443
310620005620627,253
310620005620628,158
310620005620629,348
310620005620630,386
310620005620631,272
310620005620632,399
310620005620633,413
310620005620634,335
310620005620635,367
310620005620636,313
310620005620637,271
310620005620638,280
310620005620639,434
310620005620640,391
310620005620641,386
310620005620642,381
310620005620643,432
310620005620644,309
310620005620645,246
310620005620646,313
310620005620647,177
310620005620648,328
310620005620649,175
310620005620650,510
310620005620651,456
310620005620652,271
310620005620653,218
310620005620654,384
310620005620655,591
310620005620656,726
310620005620657,538
310620005620658,542
310620005620659,459
310620005620660,451
310620005620661,404
310620005620662,458
310620005620663,247
310620005620664,282
310620005620665,335
310620005620666,320
310620005620667,287
310620005620668,362
310620005620669,411
310620005620670,410
310620005620671,414
310620005620672,175
310620005620673,448
310620005620674,446
310620005620675,208
310620005620676,194
310620005620677,351
310620005620678,291
310620005620679,269
310620005620680,288
310620005620681,315
310620005620682,297
310620005620683,391
310620005620684,237
310620005620685,299
310620005620686,326
310620005620687,236
310620005620688,393
310620005620689,417
310620005620690,250
310620005620691,299
310620005620692,235
310620005620693,361
310620005620694,369
310620005620695,327
310620005620696,359
310620005620697,361
310620005620698,345
310620005620699,719
310620005620700,265
310620005620701,442
310620005620702,358
310620005620703,318
310620005620704,369
310620005620705,475
310620005620706,340
310620005620707,298
310620005620708,378
310620005620709,213
310620005620710,273
310620005620711,525
310620005620712,233
310620005620713,235
310620005620714,358
310620005620715,230
310620005620716,431
310620005620717,136
310620005620718,166
310620005620719,137
310620005620720,196
310620005620721,474
310620005620722,355
310620005620723,425
310620005620724,360
310620005620725,512
310620005620726,563
310620005620727,486
310620005620728,297
310620005620729,275
310620005620730,235
310620005620731,224
310620005620732,222
310620005620733,327
310620005620734,372
310620005620735,313
310620005620736,292
310620005620737,247
310620005620738,437
310620005620739,384
310620005620740,399
310620005620741,428
310620005620742,440
310620005620743,384
310620005620744,328
310620005620745,505
310620005620746,515
310620005620747,483
310620005620748,530
310620005620749,389
310620005620750,334
310620005620751,446
310620005620752,467
310620005620753,0
310620005620754,228
310620005620755,309
310620005620756,357
310620005620757,431
310620005620758,537
310620005620759,535
310620005620760,798
310620005620761,330
310620005620762,309
310620005620763,404
310620005620764,503
310620005620765,347
310620005620766,776
310620005620767,393
310620005620768,247
310620005620769,534
310620005620770,347
310620005620771,282
310620005620772,377
310620005620773,520
310620005620774,0
310620005620775,167
310620005620776,83
310620005620777,179
310620005620778,258
310620005620779,307
310620005620780,331
310620005620781,340
310620005620782,262
310620005620783,317
310620005620784,359
310620005620785,267
310620005620786,163
310620005620787,403
310620005620788,335
310620005620789,403
310620005620790,420
310620005620791,334
310620005620792,299
310620005620793,198
310620005630001,778
310620005630002,736
310620005630003,526
310620005630004,416
310620005630005,553
310620005630006,755
310620005630007,489
310620005630008,4
310620005630009,532
310620005630010,741
310620005630011,539
310620005630012,588
310620005630013,194
310620005630014,412
310620005630015,656
310620005630016,524
310620005630017,809
310620005630018,440
310620005630019,783
310620005630020,87
310620005630021,311
310620005630022,562
310620005630023,818
310620005630024,674
310620005630025,431
310620005630026,490
310620005630027,862
310620005630028,744
310620005630029,514
310620005630030,685
310620005630031,598
310620005630032,672
310620005630033,672
310620005630034,488
310620005630035,547
310620005630036,568
310620005630038,528
310620005630039,530
310620005630040,476
310620005630041,714
310620005630042,535
310620005630043,702
310620005630044,519
310620005630045,440
310620005630046,427
310620005630047,629
310620005630048,353
310620005630049,676
310620005630050,637
310620005630051,445
310620005630052,407
310620005630053,607
310620005630054,590
310620005630055,920
310620005630056,626
310620005630057,951
310620005630058,378
310620005630059,481
310620005630060,743
310620005630061,428
310620005630062,531
310620005630063,767
310620005630064,361
310620005630065,390
310620005630066,348
310620005630067,393
310620005630068,482
310620005630069,325
310620005630070,433
310620005630071,770
310620005630072,647
310620005630073,429
310620005630074,456
310620005630075,472
310620005630076,313
310620005630077,819
310620005630079,628
310620005630080,708
310620005630081,605
310620005630082,448
310620005630083,344
310620005630084,668
310620005630085,591
310620005630086,380
310620005630087,466
310620005630088,808
310620005630089,473
310620005630090,687
310620005630091,633
310620005630092,597
310620005630093,528
310620005630094,486
310620005630095,564
310620005630096,413
310620005630097,626
310620005630098,345
310620005630099,382
310620005630100,539
310620005630101,482
310620005630102,401
310620005630103,572
310620005630104,618
310620005630105,293
310620005630106,473
310620005630107,501
310620005630108,389
310620005630109,560
310620005630110,600
310620005630112,464
310620005630113,434
310620005630114,404
310620005630115,309
310620005630116,528
310620005630117,480
310620005630118,460
310620005630119,505
310620005630120,526
310620005630121,410
310620005630122,652
310620005630123,707
310620005630124,917
310620005630125,506
310620005630126,728
310620005630127,589
310620005630128,617
310620005630129,763
310620005630130,728
310620005630131,481
310620005630132,792
310620005630133,560
310620005630134,549
310620005630135,722
310620005630136,515
310620005630137,471
310620005630138,446
310620005630139,438
310620005630140,744
310620005630141,594
310620005630142,516
310620005630143,358
310620005630144,796
310620005630145,754
310620005630146,541
310620005630147,452
310620005630148,400
310620005630149,535
310620005630150,537
310620005630151,703
310620005630152,505
310620005630153,682
310620005630154,460
310620005630155,777
310620005630156,504
310620005630157,546
310620005630158,744
310620005630159,434
310620005630160,582
310620005630161,900
310620005630162,340
310620005630163,419
310620005630164,942
310620005630165,763
310620005630166,720
