id_estabelecimento,cod_setor,latitude,longitude,dsc_estabe,categoria_original,confissao
328,310620060690005P,-19.805803,-43.977811,IGREJA ADVENTISTA DO 7 DIA,OUTRA CRISTÃ,Outra
329,310620060660071P,-19.838303,-43.919268,IGREJA ADVENTISTA DO 7 DIA,OUTRA CRISTÃ,Outra
330,310620060680014P,-19.839595,-43.987487,IGREJA ADVENTISTA DO 7 DIA,OUTRA CRISTÃ,Outra
331,310620060660401P,-19.827502,-43.92698,IGREJA ADVENTISTA DO SETIMO,OUTRA CRISTÃ,Outra
332,310620025610071P,-20.017031,-44.030328,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
333,310620005620101P,-19.931978,-43.915607,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
334,310620005620101P,-19.93204,-43.915552,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
335,310620005670147P,-19.943147,-43.994914,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
336,310620005670512P,-19.935993,-44.01545,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
337,310620060640245P,-19.853372,-43.907123,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
338,310620005650671P,-19.910781,-44.019532,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
339,310620060660142P,-19.839857,-43.948615,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
340,310620060640006P,-19.847394,-43.898637,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
341,310620005630455P,-19.889862,-43.898024,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
342,310620005620107P,-19.934415,-43.909774,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
343,310620060690148P,-19.823685,-43.970483,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
344,310620005650325P,-19.889812,-43.956912,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
345,310620005670213P,-19.948204,-43.968455,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
346,310620005630389P,-19.897257,-43.886373,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
347,310620005650352P,-19.900452,-43.9522,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
348,310620025610322P,-19.996541,-43.997565,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
349,310620060690099P,-19.805531,-43.999119,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
350,310620060680050P,-19.843332,-43.988404,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
351,310620005650086P,-19.924835,-43.991599,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
352,310620005680404P,-19.875879,-43.991165,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
353,310620005680096P,-19.832363,-44.014787,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
354,310620060690513P,-19.807911,-43.958662,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
355,310620060640127P,-19.869339,-43.912821,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
356,310620005680390P,-19.867012,-44.018806,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
357,310620005680367P,-19.895571,-43.999657,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
358,310620005680450P,-19.86291,-43.946561,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
359,310620005630488P,-19.907357,-43.88258,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
360,310620005640106P,-19.900648,-43.942909,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
361,310620005620731P,-19.919119,-43.947687,IGREJA ADVENTISTA DO SETIMO DIA,OUTRA CRISTÃ,Outra
362,310620025610371P,-19.988175,-44.001129,IGREJA ADVENTISTA DO SETMO DIA,OUTRA CRISTÃ,Outra
363,310620060680081P,-19.844854,-43.986648,IGREJA ADVENTISTA SETIMO DIA,OUTRA CRISTÃ,Outra
364,310620060690210P,-19.793033,-43.969381,IGREJA ADVENTISTA SETIMO DIA,OUTRA CRISTÃ,Outra
365,310620060690434P,-19.80492,-43.958913,IGREJA AGAPE,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
